benchmark,avg_dynamic_power,avg_static_power,FF,LUT,worst_negative_slack,num_cycles,num_instructions_retired,datamem_wait_cycles,fetch_wait_cycles,num_load_instructions,num_store_instructions,num_jump_instructions,num_conditional_branch_instructions,num_taken_conditional_branch_instructions,num_compressed_instructions,mult_wait_cycles,divd_wait_cycles,temperature,ht_type,ht_triggered,ht_type_with_trigger
coremark,0.05,0.264,1476,2298,9.771,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,ht-free,False,ht-free
coremark,0.05,0.264,1476,2322,9.771,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,mitm,False,mitm_non-triggered
coremark,0.05,0.264,1476,2322,8.222,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,fetch,False,fetch_non-triggered
coremark,0.05,0.264,1476,2310,4.132,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10520,critical,False,critical_non-triggered
coremark,0.03,0.259,1477,2302,10.763,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10428,clk_mod,False,clk_mod_non-triggered
multiply,0.05,0.263,1476,2298,9.771,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,ht-free,False,ht-free
multiply,0.05,0.263,1476,2322,9.771,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,mitm,False,mitm_non-triggered
multiply,0.05,0.263,1476,2322,8.222,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,fetch,False,fetch_non-triggered
multiply,0.05,0.264,1476,2310,4.132,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10526,critical,False,critical_non-triggered
multiply,0.03,0.258,1477,2302,10.763,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10473,clk_mod,False,clk_mod_non-triggered
median,0.05,0.263,1476,2298,9.66,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,ht-free,False,ht-free
median,0.05,0.263,1476,2325,9.66,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,mitm,False,mitm_non-triggered
median,0.05,0.263,1476,2325,8.799,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,fetch,False,fetch_non-triggered
